id,title,publishedAt,description,viewCount,subscriberCount,videoCount,retrievedAt,viewCountPerVideo,age,viewCountPerYear
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,2022-05-11T13:20:06.187435Z,"",1857188,28800,497,2022-12-30T23:35:50Z,3736,0.64,2901856
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,2018-05-10T17:30:16Z,"Ethiopian Satellite Television and Radio is the first publicly funded satellite television station broadcasting 24 hours of news, analysis, and entertainment programs to wider Ethiopian audience across the glob. Ethiopia, a country with a population of close to 110 million people,
ESAT will continue its relentless efforts to produce and broadcast quality programs covering a wide range of issues to its listeners in Ethiopia and glob.
",194906424,637000,8558,2022-12-30T23:35:50Z,22774,4.64,42005694
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA,2021-01-17T15:07:48.315237Z,"#ተጨማሪ_መረጃዎችን_ከኢትዮ_251_የተለያዩ_የመረጃ_መረቦች_ያግኙ_እንዲሁም_ሀሳብና_አስተያየታሁን_በጽሁፍ_መልዕክት_ያድርሱን

ተጨማሪ መረጃዎችን ከኢትዮ 251 የተለያዩ የመረጃ መረቦች ያግኙ እንዲሁም ሀሳብና አስተያየታሁን በጽሁፍ መልዕክት ያድርሱን :-
በፌስቡክ https: https://www.facebook.com/ethio251
በቴሌግራም https://t.me/ethio251media
ዩቱዩብ https://youtube.com/c/ETHIO251MEDIA


እናመሰግናለን

https://www.youtube.com/channel/UCN300jmMg6DsO2wECkleq0w
ETHIO 251 MEDIA is an independent media offering you News, Political Analysis and Information feeds from Addis Ababa, Ethiopia.

Enjoy our wide collection of Ethiopian, African and worldwide News and more contents by subscribing to our channel.
",9379685,88900,811,2022-12-30T23:35:50Z,11565,1.95,4810094
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,2012-02-08T02:13:27Z,"Mengizem media is a media that focuses on Ethiopian political,economic and social issues.",3038399,27800,1071,2022-12-30T23:35:50Z,2836,10.89,279008
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,2018-09-29T09:13:46Z,"GEBEYANU is popular for its highly professional and influential TV and
Radio programs. Its involvement began even before it is officially
renamed as GEBEYANU. It started with the name Solomon Shumiye to
be the first private program producer on ETV since 1992 E.C.
GEBEYANU and/or Solomon Shumiye have been familiar brands of the
media business for more than 19 years. Backed by creative talent and
higher education, GEBEYANU’s effort significantly influenced the
industry and now replicating of its content and/or format has become
common experience. The following are among the major productions
that have been transmitted on the national broadcaster, EBC and
Nahoo TV.",10129586,107000,594,2022-12-30T23:35:50Z,17053,4.25,2383432
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,2020-11-13T11:38:22.416086Z,"Ethio News provides news, news analysis, opinions on current affairs, produces documentaries, among others, on range of issues in Ethiopia and the Horn of Africa.",24430340,152000,1254,2022-12-30T23:35:50Z,19481,2.13,11469643
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,2019-08-19T06:20:18Z,"Welcome to Feta Daily
Feta Daily is Ethiopian Entertainment Media. update our channel on a daily basis.
We have the desire to work with you.
let's Work together contact, business Feta Daily → https://www.facebook.com/FetaTube/
",131819003,548000,823,2022-12-30T23:35:50Z,160168,3.37,39115431
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር,2020-12-12T05:48:39.995607Z,"እኛው ነን!!
ታሪክ መርምረው፣ ሃሳብ አንጥረው መላ የሚፈጥሩ፣ የእውነትን መንገድ የሚያበሩና የሚመሩ ሊቆቻችንን፤ ግዙፍ አርቅቀው ረቂቅ አግዝፈው የሚያሳዩ ምናባውያን ጠቢቦቻችንን ይዘንና በዘመናዊ የመገናኛ መሳሪያዎች ታግዘን ህዝባችንን በሃሳብ በማገናኘት የወደፊት እድሉን የሚቆጣጠርበትን ማማ የምናቆምለት እኛው ነን!",1079307,21500,290,2022-12-30T23:35:50Z,3721,2.05,526491
UCmAnzjcjIgtWuE6AnBCViTg,OMN,2014-01-19T08:11:25Z,"OMN is an independent, nonpartisan and nonprofit news enterprise whose mission is to produce original and citizen-driven reporting on Oromo and Oromia. For more information visit out website at http://www.oromiamedia.org
",103776813,488000,9065,2022-12-30T23:35:50Z,11448,8.95,11595174
UCvr6jA3WYOhXFUD2LKpqhQw,Ethio 360 Media,2019-06-04T17:59:54Z,"",201901413,526000,3695,2022-12-30T23:35:50Z,54641,3.57,56555017
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,2017-07-07T08:46:55Z,"Andafta Is Ethiopian multi-platform entertainment and media company ,Powered by its own proprietary technology. Andafta is the go-to source for tech, digital culture and entertainment content for its dedicated and influential audience around the nation as well for the globe.",253951588,866000,5707,2022-12-30T23:35:50Z,44498,5.48,46341530
UCxIn6j4tH1dVnqLd1WFvFNA,Abebe Belew,2012-08-23T23:11:19Z,ADDIS DIMTS Multimedia,26108997,140000,981,2022-12-30T23:35:50Z,26614,10.35,2522608
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,2019-11-14T00:41:33.765580Z,"አደባባይ ሚዲያ በዩ.ኤስ አሜሪካ በቴክሳስ ጠቅላይ ግዛት የተቋቋመ ትርፍ አልባ (nonprofit Media) የሚዲያ ድርጅት ነው። በኢትዮጵያውያን እና በኢትዮጵያውያን-አሜሪካውያን የተቋቋመው አደባባይ ሚዲያ ሚዛናዊና የነጠረ እውነታ (fair, balanced and Fact-checked news and views) ላይ በማቅረብ ላይ የተመሠረተ ነው።",12182872,93500,875,2023-01-01T23:17:23Z,13923,3.13,3892291
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,2007-09-21T22:51:08Z,"",15431189,324000,1001,2023-01-01T23:17:23Z,15415,15.28,1009894
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,2018-09-02T14:01:50Z,"TMH’s mission is to enrich the lives of Tigray people by providing captivating media through nonpartisan journalism. TMH will promote community dialogue through exchanging information across different social, cultural, geographical, regional, and ideological boundaries. This dialogue will assist in TMH’s endeavor to enhance tolerance, social integration, and mutual coexistence among all east African people. ",150768590,346000,5146,2023-01-01T23:17:23Z,29298,4.33,34819535
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),2022-02-22T03:19:46.031340Z,"Ethiopian Media Services is publicly funded satellite television station broadcasting 24 hours of news, analysis, and entertainment programs to wider Ethiopian audience across the globe. Ethiopia, a country with a population of close to 120 million people,  Ethiopian Media Services will continue its relentless efforts to produce and broadcast quality programs covering a wide range of issues to its viewers/listeners in Ethiopia and globe.

",34558833,208000,698,2023-01-01T23:17:23Z,49511,0.86,40184689
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,2014-08-06T19:51:23Z,ርዕዮት የኢትዮጲያና ኢትዮጲያዊነትን ሁለንተና የሚቃኝ፣ የሀገርንና የህዝብን ጉዳዮች በብዙ መንገዶች ተደራሽ የሚያደርግ፣ በርካታ ዝግጅቶችና አቀራረቦች ያሉት የሚድያ ተቋም ነው፡፡  Reyot Media expounds on everything Ethiopian across multiple platforms and formats that our audience find wherever they are.,37836974,178000,1957,2023-01-01T23:17:23Z,19334,8.41,4499045
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,2022-05-11T13:20:06.187435Z,"",1877818,28900,500,2023-01-01T23:17:23Z,3755,0.64,2934090
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,2018-05-10T17:30:16Z,"Ethiopian Satellite Television and Radio is the first publicly funded satellite television station broadcasting 24 hours of news, analysis, and entertainment programs to wider Ethiopian audience across the glob. Ethiopia, a country with a population of close to 110 million people,
ESAT will continue its relentless efforts to produce and broadcast quality programs covering a wide range of issues to its listeners in Ethiopia and glob.
",195138625,637000,8566,2023-01-01T23:17:23Z,22780,4.65,41965295
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA,2021-01-17T15:07:48.315237Z,"#ተጨማሪ_መረጃዎችን_ከኢትዮ_251_የተለያዩ_የመረጃ_መረቦች_ያግኙ_እንዲሁም_ሀሳብና_አስተያየታሁን_በጽሁፍ_መልዕክት_ያድርሱን

ተጨማሪ መረጃዎችን ከኢትዮ 251 የተለያዩ የመረጃ መረቦች ያግኙ እንዲሁም ሀሳብና አስተያየታሁን በጽሁፍ መልዕክት ያድርሱን :-
በፌስቡክ https: https://www.facebook.com/ethio251
በቴሌግራም https://t.me/ethio251media
ዩቱዩብ https://youtube.com/c/ETHIO251MEDIA


እናመሰግናለን

https://www.youtube.com/channel/UCN300jmMg6DsO2wECkleq0w
ETHIO 251 MEDIA is an independent media offering you News, Political Analysis and Information feeds from Addis Ababa, Ethiopia.

Enjoy our wide collection of Ethiopian, African and worldwide News and more contents by subscribing to our channel.
",9564068,90200,813,2023-01-01T23:17:23Z,11763,1.96,4879626
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,2012-02-08T02:13:27Z,"Mengizem media is a media that focuses on Ethiopian political,economic and social issues.",3054166,27800,1077,2023-01-01T23:17:23Z,2835,10.9,280198
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,2020-09-26T06:58:30.652446Z,"We were founded on September 26, 2020 by vetran Ethiopian journalist Tamerat Negera Feyisa as a platform for exploring, defining & promoting Ethiopianist ideas through quality web based journalism & commentary. Terara aspires to discuss issues in Politics, Economics, Education, Arts & Letters of Ethiopia & the greater horn. The seed money to start Terara was raised by Tamerat’s friend, Tariku Geleta through crowd funding campaign on December 8, 2019 that enabled Tamerat’s fans around the world to be connected for a common cause of founding an Ethiopianist media in the public sphere. ",3378898,44000,276,2023-01-01T23:17:23Z,12242,2.27,1488501
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,2018-09-29T09:13:46Z,"GEBEYANU is popular for its highly professional and influential TV and
Radio programs. Its involvement began even before it is officially
renamed as GEBEYANU. It started with the name Solomon Shumiye to
be the first private program producer on ETV since 1992 E.C.
GEBEYANU and/or Solomon Shumiye have been familiar brands of the
media business for more than 19 years. Backed by creative talent and
higher education, GEBEYANU’s effort significantly influenced the
industry and now replicating of its content and/or format has become
common experience. The following are among the major productions
that have been transmitted on the national broadcaster, EBC and
Nahoo TV.",10135245,107000,594,2023-01-01T23:17:23Z,17062,4.26,2379165
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,2020-11-13T11:38:22.416086Z,"Ethio News provides news, news analysis, opinions on current affairs, produces documentaries, among others, on range of issues in Ethiopia and the Horn of Africa.",24529809,153000,1255,2023-01-01T23:17:23Z,19545,2.13,11516342
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,2019-08-19T06:20:18Z,"Welcome to Feta Daily
Feta Daily is Ethiopian Entertainment Media. update our channel on a daily basis.
We have the desire to work with you.
let's Work together contact, business Feta Daily → https://www.facebook.com/FetaTube/
",132251872,549000,826,2023-01-01T23:17:23Z,160111,3.37,39243878
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር,2020-12-12T05:48:39.995607Z,"እኛው ነን!!
ታሪክ መርምረው፣ ሃሳብ አንጥረው መላ የሚፈጥሩ፣ የእውነትን መንገድ የሚያበሩና የሚመሩ ሊቆቻችንን፤ ግዙፍ አርቅቀው ረቂቅ አግዝፈው የሚያሳዩ ምናባውያን ጠቢቦቻችንን ይዘንና በዘመናዊ የመገናኛ መሳሪያዎች ታግዘን ህዝባችንን በሃሳብ በማገናኘት የወደፊት እድሉን የሚቆጣጠርበትን ማማ የምናቆምለት እኛው ነን!",1082456,21500,291,2023-01-01T23:17:23Z,3719,2.06,525464
UCmAnzjcjIgtWuE6AnBCViTg,OMN,2014-01-19T08:11:25Z,"OMN is an independent, nonpartisan and nonprofit news enterprise whose mission is to produce original and citizen-driven reporting on Oromo and Oromia. For more information visit out website at http://www.oromiamedia.org
",103915469,489000,9074,2023-01-01T23:17:23Z,11452,8.95,11610666
UCvr6jA3WYOhXFUD2LKpqhQw,Ethio 360 Media,2019-06-04T17:59:54Z,"",202572435,527000,3698,2023-01-01T23:17:23Z,54778,3.58,56584479
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,2017-07-07T08:46:55Z,"Andafta Is Ethiopian multi-platform entertainment and media company ,Powered by its own proprietary technology. Andafta is the go-to source for tech, digital culture and entertainment content for its dedicated and influential audience around the nation as well for the globe.",254354079,866000,5713,2023-01-01T23:17:23Z,44521,5.49,46330433
UCxIn6j4tH1dVnqLd1WFvFNA,Abebe Belew,2012-08-23T23:11:19Z,ADDIS DIMTS Multimedia,26194814,141000,982,2023-01-01T23:17:23Z,26674,10.36,2528456
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,2019-11-14T00:41:33.765580Z,"አደባባይ ሚዲያ በዩ.ኤስ አሜሪካ በቴክሳስ ጠቅላይ ግዛት የተቋቋመ ትርፍ አልባ (nonprofit Media) የሚዲያ ድርጅት ነው። በኢትዮጵያውያን እና በኢትዮጵያውያን-አሜሪካውያን የተቋቋመው አደባባይ ሚዲያ ሚዛናዊና የነጠረ እውነታ (fair, balanced and Fact-checked news and views) ላይ በማቅረብ ላይ የተመሠረተ ነው።",12185104,93600,876,2023-01-02T23:12:34Z,13909,3.14,3880606
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,2007-09-21T22:51:08Z,"",15452296,325000,1003,2023-01-02T23:12:34Z,15406,15.28,1011275
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,2018-09-02T14:01:50Z,"TMH’s mission is to enrich the lives of Tigray people by providing captivating media through nonpartisan journalism. TMH will promote community dialogue through exchanging information across different social, cultural, geographical, regional, and ideological boundaries. This dialogue will assist in TMH’s endeavor to enhance tolerance, social integration, and mutual coexistence among all east African people. ",150802763,346000,5152,2023-01-02T23:12:34Z,29270,4.34,34747180
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),2022-02-22T03:19:46.031340Z,"Ethiopian Media Services is publicly funded satellite television station broadcasting 24 hours of news, analysis, and entertainment programs to wider Ethiopian audience across the globe. Ethiopia, a country with a population of close to 120 million people,  Ethiopian Media Services will continue its relentless efforts to produce and broadcast quality programs covering a wide range of issues to its viewers/listeners in Ethiopia and globe.

",34641895,208000,704,2023-01-02T23:12:34Z,49207,0.86,40281273
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,2014-08-06T19:51:23Z,ርዕዮት የኢትዮጲያና ኢትዮጲያዊነትን ሁለንተና የሚቃኝ፣ የሀገርንና የህዝብን ጉዳዮች በብዙ መንገዶች ተደራሽ የሚያደርግ፣ በርካታ ዝግጅቶችና አቀራረቦች ያሉት የሚድያ ተቋም ነው፡፡  Reyot Media expounds on everything Ethiopian across multiple platforms and formats that our audience find wherever they are.,37876200,178000,1958,2023-01-02T23:12:34Z,19344,8.41,4503709
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,2022-05-11T13:20:06.187435Z,"",1884426,29000,503,2023-01-02T23:12:34Z,3746,0.65,2899116
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,2018-05-10T17:30:16Z,"Ethiopian Satellite Television and Radio is the first publicly funded satellite television station broadcasting 24 hours of news, analysis, and entertainment programs to wider Ethiopian audience across the glob. Ethiopia, a country with a population of close to 110 million people,
ESAT will continue its relentless efforts to produce and broadcast quality programs covering a wide range of issues to its listeners in Ethiopia and glob.
",195222374,638000,8576,2023-01-02T23:12:34Z,22763,4.65,41983306
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA,2021-01-17T15:07:48.315237Z,"#ተጨማሪ_መረጃዎችን_ከኢትዮ_251_የተለያዩ_የመረጃ_መረቦች_ያግኙ_እንዲሁም_ሀሳብና_አስተያየታሁን_በጽሁፍ_መልዕክት_ያድርሱን

ተጨማሪ መረጃዎችን ከኢትዮ 251 የተለያዩ የመረጃ መረቦች ያግኙ እንዲሁም ሀሳብና አስተያየታሁን በጽሁፍ መልዕክት ያድርሱን :-
በፌስቡክ https: https://www.facebook.com/ethio251
በቴሌግራም https://t.me/ethio251media
ዩቱዩብ https://youtube.com/c/ETHIO251MEDIA


እናመሰግናለን

https://www.youtube.com/channel/UCN300jmMg6DsO2wECkleq0w
ETHIO 251 MEDIA is an independent media offering you News, Political Analysis and Information feeds from Addis Ababa, Ethiopia.

Enjoy our wide collection of Ethiopian, African and worldwide News and more contents by subscribing to our channel.
",9607188,91400,815,2023-01-02T23:12:34Z,11787,1.96,4901626
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,2012-02-08T02:13:27Z,"Mengizem media is a media that focuses on Ethiopian political,economic and social issues.",3066349,28000,1081,2023-01-02T23:12:34Z,2836,10.9,281316
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,2020-09-26T06:58:30.652446Z,"We were founded on September 26, 2020 by vetran Ethiopian journalist Tamerat Negera Feyisa as a platform for exploring, defining & promoting Ethiopianist ideas through quality web based journalism & commentary. Terara aspires to discuss issues in Politics, Economics, Education, Arts & Letters of Ethiopia & the greater horn. The seed money to start Terara was raised by Tamerat’s friend, Tariku Geleta through crowd funding campaign on December 8, 2019 that enabled Tamerat’s fans around the world to be connected for a common cause of founding an Ethiopianist media in the public sphere. ",3379479,44100,276,2023-01-02T23:12:34Z,12244,2.27,1488757
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,2018-09-29T09:13:46Z,"GEBEYANU is popular for its highly professional and influential TV and
Radio programs. Its involvement began even before it is officially
renamed as GEBEYANU. It started with the name Solomon Shumiye to
be the first private program producer on ETV since 1992 E.C.
GEBEYANU and/or Solomon Shumiye have been familiar brands of the
media business for more than 19 years. Backed by creative talent and
higher education, GEBEYANU’s effort significantly influenced the
industry and now replicating of its content and/or format has become
common experience. The following are among the major productions
that have been transmitted on the national broadcaster, EBC and
Nahoo TV.",10137366,107000,594,2023-01-02T23:12:34Z,17066,4.26,2379663
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,2020-11-13T11:38:22.416086Z,"Ethio News provides news, news analysis, opinions on current affairs, produces documentaries, among others, on range of issues in Ethiopia and the Horn of Africa.",24541358,153000,1255,2023-01-02T23:12:34Z,19554,2.14,11467924
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,2019-08-19T06:20:18Z,"Welcome to Feta Daily
Feta Daily is Ethiopian Entertainment Media. update our channel on a daily basis.
We have the desire to work with you.
let's Work together contact, business Feta Daily → https://www.facebook.com/FetaTube/
",132410159,549000,828,2023-01-02T23:12:34Z,159915,3.37,39290848
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር,2020-12-12T05:48:39.995607Z,"እኛው ነን!!
ታሪክ መርምረው፣ ሃሳብ አንጥረው መላ የሚፈጥሩ፣ የእውነትን መንገድ የሚያበሩና የሚመሩ ሊቆቻችንን፤ ግዙፍ አርቅቀው ረቂቅ አግዝፈው የሚያሳዩ ምናባውያን ጠቢቦቻችንን ይዘንና በዘመናዊ የመገናኛ መሳሪያዎች ታግዘን ህዝባችንን በሃሳብ በማገናኘት የወደፊት እድሉን የሚቆጣጠርበትን ማማ የምናቆምለት እኛው ነን!",1084398,21500,291,2023-01-02T23:12:34Z,3726,2.06,526406
UCmAnzjcjIgtWuE6AnBCViTg,OMN,2014-01-19T08:11:25Z,"OMN is an independent, nonpartisan and nonprofit news enterprise whose mission is to produce original and citizen-driven reporting on Oromo and Oromia. For more information visit out website at http://www.oromiamedia.org
",103972807,489000,9087,2023-01-02T23:12:34Z,11441,8.95,11617073
UCvr6jA3WYOhXFUD2LKpqhQw,Ethio 360 Media,2019-06-04T17:59:54Z,"",202835723,528000,3703,2023-01-02T23:12:34Z,54776,3.58,56658023
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,2017-07-07T08:46:55Z,"Andafta Is Ethiopian multi-platform entertainment and media company ,Powered by its own proprietary technology. Andafta is the go-to source for tech, digital culture and entertainment content for its dedicated and influential audience around the nation as well for the globe.",254481791,867000,5717,2023-01-02T23:12:34Z,44513,5.49,46353695
UCxIn6j4tH1dVnqLd1WFvFNA,Abebe Belew,2012-08-23T23:11:19Z,ADDIS DIMTS Multimedia,26219198,141000,983,2023-01-02T23:12:34Z,26672,10.36,2530810
